Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,,
55,152,176.96939788013515,148
54,66,83.59651615271429,56
53,35,73.19946948194286,28
52,25,119.503423657,20
51,115,106.23034258341818,110
50,86,477.1703447635267,71
49,136,346.4076363917872,125
48,147,148.71242401639537,130
47,205,261.8645244441355,186
46,182,68.52183289830765,153
45,53,205.02682832022856,35
44,1224,14.904371180143482,1218
43,134,3.1092053584711112,9
42,616,3.875600495057824,614
41,65,157.98264049,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,51.541267804466656,24
35,7,411.06254453333327,3
34,11,,
33,17,351.34827347466666,15
32,12,37.509471236036376,11
31,52,63.142291641745885,51
30,9,943.119726594,4
29,8,306.57659760285713,7
28,5,776.2152271706668,3
27,13,585.7651869821401,12
26,6,474.62908474016007,5
25,60,483.3656523205288,59
24,8,,
23,3,,
19,1,,
16,1,,
