Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,48,,
55,149,95.8364563517505,141
54,72,73.06496054310023,55
53,37,65.81628403932957,29
52,27,158.95113860027013,23
51,113,81.13166579712566,111
50,86,412.4996313022881,72
49,139,216.33132787754332,129
48,141,121.194604546919,128
47,213,150.10019247330118,192
46,170,79.06793559368735,147
45,62,76.34896301362306,38
44,1216,67.9117519689403,1213
43,139,42.871704850351286,9
42,626,34.716360036803096,624
41,55,110.20145949582951,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,56.855686738212235,24
35,7,276.9770794769315,3
34,11,,
33,18,264.7916029658205,16
32,11,,
31,51,74.22284988781709,50
30,11,336.0706094583014,5
29,8,,
28,5,352.2143855491837,4
27,12,,
26,7,407.2803837936755,6
25,51,,
24,16,,
23,3,,
19,1,,
16,1,,
