Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,46,568.7320885452302,45
55,158,133.94572457750246,147
54,69,63.86869236225743,58
53,35,87.4405209385392,30
52,25,125.81847759011066,22
51,114,77.89947196988055,111
50,92,329.8964649665018,78
49,133,265.6004714828024,129
48,144,138.99600691543353,131
47,213,167.4201506078069,195
46,176,79.82306087254274,156
45,52,87.10818502975545,37
44,1212,46.64486974299594,1208
43,146,47.957910077956555,11
42,597,,
41,81,375.86288544631407,3
40,2,7.112377285756466,1
39,3,,
38,1,,
37,7,,
36,23,,
35,7,308.34137032042696,2
34,11,113.74483938972027,10
33,18,293.685827086236,15
32,12,92.35535373188924,11
31,50,81.33358207106566,49
30,12,233.63998576573698,5
29,6,,
28,7,322.6101658843769,4
27,13,,
26,6,,
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
