Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,363.7746762941666,48
55,147,183.10877020853238,139
54,74,89.44325645684363,55
53,39,71.68620259571613,31
52,24,99.15401115770909,22
51,120,93.45950568786324,117
50,81,464.2565970872877,73
49,137,264.5479796306641,128
48,151,177.75295727571825,137
47,203,285.0102704798178,191
46,179,65.9974046362916,155
45,53,194.82278505012974,37
44,1218,13.85575574422939,1214
43,137,1.0400869542500002,8
42,602,3.693419831774024,599
41,80,157.98264049,4
40,1,,
39,2,,
38,2,167.49536,1
37,6,,
36,26,65.46728162816001,25
35,6,462.5268305866667,3
34,12,,
33,15,308.1988210685714,14
32,13,34.59659859636365,11
31,49,48.52630039399166,48
30,13,601.0894945088,5
29,9,,
28,4,,
27,11,,
26,7,513.063844516,5
25,63,499.70017939863226,62
24,5,,
23,3,,
18,1,,
16,1,,
