Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,,
55,146,32.913730822887324,142
54,72,10.191439021428575,56
53,34,5.899712027407401,27
52,27,6.762018185714282,21
51,123,17.743989532100834,119
50,78,206.06892035277775,72
49,138,90.12458237289844,128
48,147,39.600544502180455,133
47,205,26.107894980899463,189
46,184,33.79297975879114,158
45,51,74.1648689494737,38
44,1212,13.663587452817204,1209
43,144,2.2143727199999996,10
42,602,4.5559149234157355,601
41,77,28.09981633333333,3
40,2,0.45131600000000205,1
39,3,,
38,1,,
37,7,,
36,24,,
35,7,8.475409999999973,3
34,12,,
33,16,26.90853933333337,15
32,11,1.3593985149999992,10
31,52,0.9766239296623371,50
30,11,255.47583132,5
29,9,,
28,4,,
27,10,,
26,8,0.5650064166233773,5
25,59,12.627689125797144,58
24,9,,
23,3,,
19,1,,
16,1,,
