Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,50,344.4320240555102,49
55,154,477.9791163809726,147
54,63,498.4522150025938,52
53,37,511.95149598410785,26
52,26,478.7753944720156,19
51,117,504.54192072489957,111
50,89,635.5945757010735,75
49,141,523.4776596290229,134
48,141,402.46920532713216,133
47,214,381.399827566141,198
46,163,404.9990990489298,146
45,64,381.98728628675957,39
44,1224,308.5431086203713,1222
43,130,349.4194458807607,9
42,594,336.07427827759363,592
41,86,566.069054177507,3
40,2,559.9013994411342,1
39,2,,
38,2,197.23147070210706,1
37,7,,
36,24,,
35,7,494.7370231633635,3
34,13,,
33,13,,
32,14,287.41106486953686,11
31,52,377.72608664381994,51
30,9,520.3951431363396,4
29,9,500.3562972591331,8
28,5,687.3217736566011,4
27,12,,
26,6,509.90592745430996,5
25,63,481.2652399133802,62
24,5,,
23,3,,
19,1,,
16,1,,
