Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,48,615.9677554360837,47
55,155,217.98127270346566,146
54,69,63.51311864305823,57
53,35,91.27466344336725,29
52,26,181.5054987159038,22
51,112,66.95402079643372,109
50,90,372.3300967331479,74
49,130,224.51253826364172,122
48,159,147.66929945531172,139
47,205,173.83753733474643,195
46,173,77.84223803503217,153
45,56,102.91391979726448,38
44,1205,48.15163208854024,1202
43,152,47.482340088253395,11
42,612,,
41,66,169.49511725210726,3
40,2,53.460560045434065,1
39,3,,
38,1,,
37,7,,
36,23,,
35,8,164.18713743058495,3
34,13,,
33,16,,
32,11,,
31,47,80.46472567735862,46
30,15,140.50081068064028,5
29,8,,
28,5,439.191304640772,4
27,11,,
26,7,338.21030786002945,5
25,62,250.03948371780317,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
