Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,54,,
55,145,1.0606604949426245e-12,143
54,69,0.00011804386094938769,54
53,38,229.01334347969427,29
52,29,232.9542327794587,25
51,112,,
50,87,514.8641776682409,74
49,132,550.7165977233637,124
48,150,354.7236155056159,132
47,206,466.9163424467756,189
46,179,372.77859847432245,153
45,56,468.72926852387667,38
44,1206,331.1945081172648,1203
43,149,169.77416343677473,9
42,607,173.73476102963136,605
41,74,147.0568925637444,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,707.5302702068054,3
34,13,,
33,15,,
32,11,181.71611409320482,10
31,56,142.44984331604175,54
30,7,1355.5181589702775,5
29,9,,
28,4,,
27,12,,
26,7,117.43007711118915,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
