Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,,
55,147,238.00359045958987,140
54,73,178.46172891011318,55
53,39,144.14013319167225,31
52,24,306.7836007443139,22
51,108,117.91008197266268,105
50,94,614.7370232421669,74
49,133,514.741944090434,125
48,153,307.3479612716284,136
47,211,262.7189956402764,198
46,180,143.41801874648624,163
45,46,202.3051731717816,38
44,1206,161.92410357006005,1203
43,150,115.0412029254591,10
42,603,86.10803665214623,602
41,77,533.2449587324028,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,105.01967542563746,26
35,5,178.23326687568292,3
34,12,,
33,16,264.363406319015,15
32,11,284.481055347481,10
31,52,120.46412751569008,50
30,11,372.59286384607645,5
29,8,,
28,5,427.167456743781,4
27,11,,
26,7,551.5975970803933,5
25,61,408.0525784697015,60
24,7,,
23,3,,
19,1,,
16,1,,
