Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,47,378.52347969782613,46
55,155,472.6369550027244,145
54,71,509.3495199539757,58
53,35,510.85927841137715,30
52,24,452.68731829749714,21
51,119,498.05983510726475,115
50,85,633.5512728966527,75
49,138,533.4149518315885,131
48,143,401.95756805109045,132
47,208,361.1423340879197,191
46,183,358.41236109901075,159
45,50,354.86212789455624,38
44,1203,298.3453246729072,1200
43,153,331.0964976271113,10
42,607,333.9709623484544,606
41,73,433.90973088081216,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,448.69470582855945,3
34,11,,
33,15,460.74935938655307,13
32,13,244.57160432564282,10
31,50,389.2004970725933,48
30,13,461.964044971038,5
29,9,,
28,3,,
27,12,476.48400746182,11
26,8,526.3543034659448,6
25,59,,
24,8,,
23,3,,
19,1,,
15,1,,
