Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,50,383.064990352449,49
55,147,465.7890521532496,140
54,75,472.8703795099779,57
53,36,481.0651167621065,30
52,26,424.96586434841595,23
51,113,457.10674682859593,111
50,89,580.4202466788063,75
49,132,473.0414682760183,125
48,152,393.0641651315319,135
47,208,355.500656588647,194
46,171,388.65182643592516,150
45,59,307.69959832456163,38
44,1215,280.3566781770559,1212
43,142,350.65662918817367,11
42,607,,
41,71,594.2624501754411,3
40,2,330.17277317568625,1
39,2,,
38,2,161.93741378707523,1
37,5,,
36,28,229.70585439296195,26
35,4,365.24217419838504,2
34,13,394.98084791992204,12
33,14,388.45066431007285,13
32,12,273.0086939644801,9
31,54,341.3859412168667,51
30,10,278.9817132387965,5
29,9,,
28,3,,
27,12,551.2405870465972,11
26,8,226.75714749443253,6
25,61,,
24,6,,
23,3,,
19,1,,
15,1,,
