Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,51,371.97108430040004,50
55,147,449.75308888283513,141
54,76,484.472332753158,59
53,34,482.7877811202961,30
52,26,431.97231785980756,23
51,112,471.083489984008,110
50,87,601.0255009173409,72
49,141,478.19666641347186,131
48,151,346.533931446205,140
47,207,329.0161704377916,198
46,174,344.38466199097644,157
45,52,313.3314202285752,38
44,1210,180.691000842915,1207
43,145,282.484023626506,9
42,593,164.4636497320965,591
41,88,495.331143346041,4
40,1,,
39,2,,
38,2,240.90725141672112,1
37,7,,
36,23,,
35,8,233.38078216849956,3
34,12,,
33,17,404.0366669081299,16
32,11,,
31,50,256.10069290689677,49
30,12,417.32882054957093,5
29,9,,
28,4,,
27,9,,
26,10,198.93631812784494,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
