Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,50,367.32394227285715,49
55,151,472.60684499830785,144
54,70,490.4500128742092,56
53,37,497.0028121537206,30
52,26,437.2122806250909,23
51,117,475.49740134185345,115
50,84,607.942531003715,74
49,136,472.6199680292621,128
48,147,385.6272496986046,133
47,204,352.12744341935434,188
46,176,364.8846214395776,149
45,58,298.8329060227833,36
44,1200,204.45479949229542,1195
43,159,311.94617309588716,11
42,614,,
41,65,475.2035607037309,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,150.7482278610409,24
35,7,234.77340425029652,3
34,13,,
33,13,,
32,12,261.66057382624945,9
31,57,324.8092185985753,54
30,7,415.10910772978417,5
29,9,,
28,4,,
27,12,,
26,7,299.98686929053486,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
