Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,50,283.5144489820408,49
55,153,242.06888176050433,146
54,70,217.94945590304508,58
53,36,224.84244628295744,31
52,24,226.42940697610766,22
51,120,261.4248599999281,117
50,80,515.5849356273151,72
49,142,540.4198872564202,132
48,148,420.0700325177686,138
47,207,535.4022635037119,196
46,162,385.83169016771063,143
45,62,484.8560720836444,34
44,1205,336.50694288337326,1198
43,155,171.82485379017976,10
42,602,176.33615880539514,601
41,78,149.5451823930109,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,,
33,15,571.6947920193422,14
32,14,191.37473490603398,12
31,53,,
30,6,1804.3967102571817,3
29,11,804.0632863520074,9
28,4,,
27,10,,
26,8,127.19220534407374,5
25,62,390.70567737349825,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
