Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,50,,
55,146,188.1392315572889,140
54,77,172.0863579627818,59
53,34,331.8646422334008,30
52,27,194.88302316222607,24
51,112,145.15814568519878,111
50,87,912.4916416689448,73
49,134,375.19842532306205,125
48,144,233.746977383555,127
47,215,244.91408229402907,193
46,175,136.4460599753416,153
45,52,151.32100008186708,34
44,1210,111.93266967752538,1203
43,151,98.98781819114662,11
42,614,,
41,64,317.14674966093986,3
40,2,288.7322480583201,1
39,3,,
38,1,,
37,6,,
36,27,92.65391820010109,26
35,5,115.92255683294798,3
34,11,,
33,18,314.43080635482926,16
32,12,,
31,53,,
30,7,245.44349573372108,4
29,10,241.15856561566986,9
28,3,,
27,14,641.6900594740738,13
26,6,,
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
