Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,271.57404546071103,51
55,146,55.990066909152276,141
54,76,363.1756350881053,59
53,34,46.937268235425776,30
52,25,28.211634747243806,22
51,116,43.78990370609848,113
50,85,244.87994753073653,73
49,136,11663.522746076911,127
48,143,851999.5343311921,128
47,215,232052.22033797222,194
46,175,39219.0310679055,154
45,52,23761.759049920176,35
44,1216,126046.97746595225,1210
43,144,20993.27546834189,11
42,608,,
41,71,9775.564283157899,4
39,4,24267.999493071737,3
38,1,,
37,7,,
36,25,,
35,4,22834.257674261255,1
34,12,56800.622551575245,10
33,18,82521.0626775649,15
32,13,19260.798525882623,12
31,47,,
30,14,25501.59833686655,5
29,9,,
28,3,,
27,12,27818.704015677184,11
26,8,24414.41308445964,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
