Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,392.95818123078436,51
55,143,482.9686250889989,138
54,75,503.262671535918,55
53,38,515.5452523640494,30
52,25,430.5835178098958,22
51,114,494.09276562311567,111
50,92,617.0002154248947,78
49,129,530.7606773747168,125
48,154,415.81480356109563,137
47,210,391.11642112427774,198
46,168,420.35653181417786,151
45,55,414.6793568750334,35
44,1212,348.0890513885219,1206
43,148,373.8142613777942,11
42,606,,
41,73,589.9537542061652,4
40,1,,
39,3,,
38,1,,
37,5,,
36,30,254.51548684059202,28
35,3,,
34,12,,
33,16,503.2296054613097,15
32,11,285.22175421727866,10
31,50,392.28690013142153,48
30,13,441.823927934262,5
29,9,,
28,4,,
27,9,,
26,9,577.208010169316,5
25,62,491.8326472160519,61
24,6,,
23,3,,
18,1,,
16,1,,
