Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
58,66,,
57,157,368.8246477732718,152
56,99,323.15626785950025,72
55,53,517.9916671796614,44
54,33,647.6473205504362,26
53,137,492.8970079479894,132
52,147,1151.6205533118664,127
51,217,909.99609612073,199
50,202,490.70793300161785,184
49,260,892.249848062316,242
48,192,115.95537474665463,168
47,57,472.1430166938982,38
46,1241,24.760862607907505,1230
45,154,380.4791213666859,9
44,633,6.051067957275262,630
43,51,0.002369116629100887,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,9,,
38,31,323.9686685193031,30
37,3,794.5281663775236,1
36,19,502.0990627136936,17
35,22,,
34,13,,
33,55,176.48650975121922,54
32,15,2544.955602076546,7
31,14,,
30,12,2694.7507376587064,10
29,15,1096.7599905669442,14
28,16,1024.1376038581889,12
27,76,,
26,9,5911.181586244797,2
25,7,256.9106169126882,6
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
