Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,148,4.452863520309478,141
54,71,4.5793102866928725,54
53,38,4.890148837429744,29
52,27,4.164816637007683,23
51,119,5.230887711052387,117
50,80,4.000424262082379,72
49,133,4.68629004792597,123
48,160,5.703927616603847,141
47,204,5.217766743138188,196
46,171,6.181679960662375,152
45,59,6.2449167954558265,40
44,1195,6.142173440872594,1194
43,159,2.62438962308239,10
42,613,3.4820588339871335,612
41,67,4.953713751753125,4
40,1,,
39,2,,
38,2,11.677890747417763,1
37,6,,
36,26,2.09388766086842,25
35,5,8.268330564171755,2
34,14,2.493808942336784,13
33,14,,
32,14,4.401274225664969,12
31,50,,
30,10,6.833880170387918,4
29,9,3.6893152476977775,8
28,5,4.71134675,4
27,11,,
26,8,4.22471135,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
