Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,149,0.3818111413047147,142
54,71,0.22385210048483256,55
53,36,0.36674118709071873,28
52,28,0.19391199572661882,23
51,122,0.22086815047594538,120
50,78,2.0694625054635747,73
49,138,1.410767360263623,129
48,149,0.7649338632002847,136
47,204,0.8527770960890528,191
46,174,0.326674777228935,150
45,54,0.4723376076861747,33
44,1217,0.096520760011561,1209
43,143,0.09059578796382335,9
42,613,0.1165676611992504,611
41,67,10.706418898853437,3
40,2,0.5043336681843895,1
39,1,,
38,2,,
37,7,0.7792962667079019,6
36,26,0.25299144938761586,25
35,6,1.188852519793749,3
34,11,,
33,16,0.9489015133130657,14
32,13,0.6593246617826742,11
31,50,0.46701289063608636,49
30,11,2.2084926611150966,4
29,9,0.31111268226055017,8
28,5,1.4600950316002295,4
27,12,,
26,7,2.1400133213996266,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
