Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,56,1.8924928548276423,55
55,150,0.008592333316409528,149
54,63,0.0012305620911476254,54
53,37,0.001989460156844861,28
52,24,0.003477651352576985,19
51,114,0.008761536028670762,108
50,91,221711.52250934378,74
49,136,1.777025557162843,128
48,151,7.889533812044851,137
47,199,7.315909852264499,187
46,183,1.6242369424970935,155
45,55,6.671154430233081,39
44,1223,6.507303432750034,1221
43,132,4.257856162203844,10
42,595,4.750352042982554,594
41,85,9.04191688791556,4
39,4,2.2859609628276827,3
38,1,,
37,7,,
36,24,,
35,4,,
34,13,3.3786622103381694,10
33,17,5.712285879527218,14
32,11,7.291763220289273,9
31,54,5.3746688663234865,51
30,10,3.15207763533922,5
29,8,,
28,5,4.289598485820743,4
27,12,,
26,7,4.248249198554952,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
