Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,155,0.8891551494292664,148
54,62,0.4992448914486227,52
53,40,0.41769113706394434,29
52,26,0.46246682178135023,22
51,120,0.3526896200728265,117
50,80,2.3135775749385146,72
49,137,1.2438033511837014,127
48,145,0.6425182889385125,130
47,219,0.7240223290222492,200
46,163,0.30294621029198465,148
45,58,0.343996985740989,35
44,1218,0.11811711729715549,1212
43,141,0.05849804887009154,10
42,599,0.05343657678308418,598
41,81,10.535920201698268,4
40,1,,
39,2,,
38,2,0.1467590130226526,1
37,7,,
36,25,,
35,6,0.914027051318973,3
34,12,,
33,16,0.6120958272405506,15
32,12,0.3448687330188884,11
31,52,0.4412108598710088,51
30,10,1.0078138652802655,5
29,7,,
28,6,0.5921172525587319,4
27,12,,
26,6,2.374311827503891,5
25,62,0.899412062928722,61
24,6,,
23,3,,
19,1,,
16,1,,
