Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,52,,
55,142,0.6237796376811596,138
54,75,0.17589509090909108,55
53,38,0.13302533333333313,30
52,25,0.08509409090909116,22
51,121,0.07999000000000006,118
50,80,2.3450076534246573,73
49,137,1.1201055625,128
48,150,0.7609600544117647,136
47,208,0.6392066982564104,195
46,172,0.18629708921052626,152
45,55,0.36980263611111125,36
44,1207,0.03317602226289522,1202
43,150,0.038435511111111015,9
42,615,0.01012099063621544,613
41,65,10.01346,3
40,2,0.1345200000000002,1
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,9,0.36810043749999943,8
33,19,0.6637177642857143,14
32,13,0.2196254636363639,11
31,47,0.38069637500000014,46
30,15,2.8733869,5
29,6,,
28,7,0.7319847500000009,4
27,10,,
26,9,2.1441375166666665,6
25,62,,
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
