Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,47,,
55,149,1.952573814285714,140
54,75,1.348260133333333,57
53,36,1.3061742533333334,30
52,26,1.8500009217391309,23
51,115,1.05947952,113
50,86,2.216988156486486,74
49,136,1.14256961390625,128
48,151,0.8731764078832114,137
47,210,0.836698122,198
46,173,0.6714624887435898,156
45,54,0.5144844821333332,39
44,1195,0.46757054358088856,1193
43,161,0.49743865454545466,11
42,612,,
41,67,10.677721400000001,4
40,1,,
39,3,,
37,5,1.6135977899999994,4
36,28,2.3391010983936,25
35,6,1.1252542666666645,3
34,13,,
33,15,,
32,13,1.1346465483333334,12
31,48,,
30,12,1.5230034294,4
29,10,0.46669504888888885,9
28,3,,
27,13,1.423399703333333,12
26,5,2.1795436649999997,4
25,59,1.2354593821052633,57
24,10,,
23,3,,
19,1,,
16,1,,
