Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,,
55,147,1.812830676056338,142
54,75,1.3146859999999998,59
53,35,1.2142093419354838,31
52,25,1.5484811652173913,23
51,111,1.0198220366972477,109
50,86,2.288168852857143,70
49,140,1.1213975476562499,128
48,145,0.9106933103816792,131
47,214,0.8109472989183673,196
46,170,0.654414197218543,151
45,57,0.5361648259027026,37
44,1220,0.48242263752236847,1216
43,138,0.6413525836363637,11
42,596,,
41,83,10.677721400000001,4
40,1,,
39,2,,
38,2,0.7331340000000033,1
37,7,,
36,26,,
35,5,0.9450772933333305,3
34,10,,
33,17,0.3810614417142855,14
32,12,1.1753283899999998,10
31,55,0.5836882203849059,53
30,7,1.4190590449999991,4
29,9,0.4408099525,8
28,5,0.7994555999999999,4
27,11,,
26,7,1.935396132,5
25,64,1.2757848515555557,63
24,4,,
23,1,,
22,2,,
19,1,,
16,1,,
