Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,53,2.466376960253177,52
55,151,1.4032275097746447,147
54,69,1.078091366192757,58
53,35,1.1019863857589751,30
52,25,1.2122635092279532,22
51,116,0.982266751361572,113
50,87,3.0227274384832916,75
49,130,1.3946388683832256,123
48,154,1.1446725429349496,135
47,203,1.0751602747898477,189
46,174,0.8984129173611517,148
45,59,0.9076684825333778,36
44,1210,0.6169270074493953,1205
43,148,0.716542375706211,10
42,612,0.5378205206773556,611
41,67,6.687661488540893,3
40,2,0.8885205418453479,1
39,3,,
38,1,,
37,6,,
36,27,1.3528960111217954,26
35,5,0.8716519457146626,3
34,9,,
33,18,1.1052617176814297,14
32,12,1.1119403670107897,10
31,52,0.7902042978691864,50
30,11,1.6023236019226175,5
29,8,,
28,3,0.5862216305757422,2
27,14,1.3670895571889239,12
26,7,1.8587879927620816,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
