Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,47,2.1668029653555108,46
55,147,1.429730149252922,137
54,79,1.133813885790689,58
53,35,1.2669843970163677,30
52,26,1.3474350698330435,23
51,114,1.1081448938586471,112
50,89,2.68730249172221,76
49,133,1.4796143753578985,127
48,150,1.0592637613865332,135
47,216,1.0292101380388623,202
46,161,0.7486810835770554,148
45,59,1.1389721862580935,36
44,1232,0.791508811276366,1227
43,125,0.5204302503225523,9
42,600,0.402118062616227,598
41,79,10.75562298058114,2
40,3,0.8712074769690239,1
39,3,,
38,1,,
37,5,,
36,24,1.253701369963431,22
35,9,1.5484713849988783,3
34,12,,
33,16,1.3251693411526135,15
32,10,1.779847289974082,9
31,53,0.6533945331721123,50
30,11,1.6964382785051033,5
29,8,,
28,3,1.0682889098212343,2
27,14,0.9288932690713639,12
26,7,1.9490212146583066,6
25,58,,
24,9,,
23,2,,
22,1,,
18,1,,
16,1,,
