Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,45,,
55,147,3.457446747202151e-14,136
54,80,3.715035941711214e-14,58
53,30,2.0898838215543948e-14,25
52,30,0.0018485481066605545,22
51,112,0.0012088341533728676,109
50,88,2.2499243156958455,72
49,136,1.6180102225323967,126
48,150,0.923298144123016,134
47,210,0.839473366164952,195
46,176,0.6315330199542337,156
45,53,1.0866027631023516,38
44,1208,0.22769625003175298,1205
43,149,0.1830542273121104,11
42,613,,
41,66,4.6895806387805585,4
40,1,,
39,3,,
38,1,,
37,6,,
36,29,0.4113711776469848,28
35,3,,
34,13,,
33,15,,
32,12,0.6931048552167423,11
31,50,0.49893318553958044,49
30,12,2.3236909930516445,5
29,9,,
28,3,,
27,13,3.344969566623074,12
26,6,3.08830934467244,5
25,63,4.007693081768214,62
24,5,,
23,3,,
19,1,,
16,1,,
