Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,4.778198808181046,49
55,150,1.419330559693029,143
54,72,1.1757679213107177,57
53,37,1.2206631606770781,31
52,24,1.307099366862463,22
51,119,1.0471630567894834,116
50,83,2.854567243948352,74
49,129,1.213800107727975,121
48,156,1.1898578099182098,135
47,199,1.1868356895338956,185
46,180,0.9178475442215803,150
45,58,0.8932131552437491,37
44,1216,0.6048910104521683,1212
43,140,0.7273164171006569,9
42,615,0.48611628347577746,613
41,65,7.569389481307791,3
40,2,1.4487063405651934,1
39,1,,
38,3,1.999983780418182,1
37,7,,
36,27,,
35,4,1.5475808514151954,3
34,11,,
33,16,1.1484155972780765,14
32,12,1.2106882197841318,10
31,54,0.8672873575361887,52
30,8,1.4534857236876386,4
29,9,0.5994002250619047,8
28,5,0.9223573855486418,4
27,13,,
26,6,,
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
