Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,50,,
55,145,1.997682594884877e-14,139
54,77,3.3153556528461574e-14,58
53,35,1.5365486660812167e-14,30
52,21,7.394085344003543e-14,18
51,122,1.4186043644129945e-13,115
50,83,3.502111677405621,73
49,139,2.009382215663529,130
48,149,3.755328819706983,137
47,209,1.4739043540572747,197
46,173,2.6656693040378334,155
45,53,3.0312802695583767,37
44,1195,4.499038947341417,1191
43,161,1.0739970545761537,9
42,620,1.2398917401014578,618
41,61,6.312249894737191,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,3.0515294366709305,26
35,4,1.1108106757114768,2
34,11,1.607436804916847,10
33,16,3.56656124376075,13
32,15,4.840993543084653,12
31,53,,
30,8,1.468376039136351,5
29,9,,
28,4,,
27,11,,
26,7,1.5484608062329872,5
25,56,2.0952474151755127,55
24,12,,
23,2,,
22,1,,
19,1,,
15,1,,
