Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,4.52575725,48
55,148,1.9115644314285716,140
54,73,1.2911392654545455,55
53,37,1.2626109048275858,29
52,26,1.6995786727272728,22
51,116,1.0236225989380532,113
50,85,2.304487430136986,73
49,136,1.1483484,127
48,143,0.8795308828124999,128
47,217,0.7384561096938775,196
46,173,0.7061978693766234,154
45,56,0.6210106104615382,39
44,1216,0.49814980477166393,1214
43,137,0.4390957000000001,8
42,612,0.31635798976157636,609
41,70,10.79849825,4
39,3,0.4762008000000002,2
38,2,1.1295196000000018,1
37,7,,
36,27,,
35,4,0.9547588319999996,3
34,9,,
33,18,0.5551558199428569,14
32,14,1.1260484849999999,12
31,54,,
30,7,1.1608866279999994,5
29,8,,
28,5,0.85759965,4
27,9,,
26,10,1.0982025499999999,6
25,57,,
24,10,,
23,3,,
19,1,,
15,1,,
