Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,54,,
55,148,1.3698606481736813,146
54,67,1.0746743376866954,55
53,39,1.1529622165346838,31
52,25,1.1988665121382622,23
51,111,1.083966959544933,109
50,92,2.798758441040617,76
49,130,1.3495050941494122,124
48,150,1.118128980545166,132
47,216,1.0865312277955652,199
46,172,0.734133462985376,156
45,54,0.7621403715132109,39
44,1220,0.4895963842456973,1218
43,133,0.41253888503360725,8
42,592,0.5836189828735497,589
41,90,6.012968894431892,4
40,1,,
39,2,,
38,2,1.129438675917843,1
37,6,,
36,22,1.007454590556503,21
35,9,2.6457041089133115,2
34,14,1.4223223040635466,13
33,15,,
32,10,0.9646292830931286,9
31,54,0.822173558155811,51
30,9,1.1847440069512933,4
29,8,1.0197780234477303,7
28,5,1.2956307260499853,3
27,13,1.730499362650146,12
26,7,2.7995842836398284,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
