Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,52,2.7801623262817334,49
55,145,1.2144883595638423,138
54,79,1.1546617285308212,59
53,35,1.3210863578748087,31
52,24,1.1968281433047214,22
51,117,1.1192044644072299,114
50,83,2.332007223574785,72
49,145,1.3057161484421906,135
48,136,1.233453535186451,129
47,208,1.1051734674393134,188
46,183,0.7543338515992037,156
45,54,0.9197890773208353,39
44,1213,0.46832070337709214,1211
43,142,0.5696838952557809,10
42,601,0.497042444791466,600
41,79,5.775208423362558,4
40,1,,
39,2,,
38,2,1.1124055833003226,1
37,7,,
36,26,,
35,4,1.8652505553993306,2
34,13,1.261194944536599,12
33,13,0.8344873907705085,12
32,16,0.9938200809695245,12
31,52,,
30,9,1.9490269448213848,5
29,8,,
28,5,0.7613829918978146,4
27,13,,
26,5,,
25,60,1.5335119121331264,59
24,8,,
23,3,,
19,1,,
16,1,,
