Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,2.9140356221443526,48
55,145,1.6918587102768665,137
54,80,1.4432929011954345,59
53,32,1.0903480612426235,28
52,28,1.009985203650329,23
51,112,1.3219235383677925,110
50,90,1.6399937393603008,75
49,135,1.3905877717692214,128
48,149,1.1351220346891342,135
47,209,0.9883168091565668,195
46,169,0.7953486075324734,149
45,59,0.7351482357243432,37
44,1226,0.5193869770518506,1222
43,131,0.5864876104643814,10
42,607,0.3835621631553727,606
41,72,9.149152302570075,3
40,2,0.03967025882112463,1
39,2,,
38,2,0.49035179258367734,1
37,7,,
36,26,,
35,5,2.8176480603575875,3
34,10,,
33,17,1.2613182295068162,14
32,13,1.1067277313804638,11
31,50,0.6037554475644408,49
30,12,1.7175767361639935,5
29,7,,
28,5,1.6500988716074414,3
27,14,1.4373820762010352,13
26,6,,
25,53,,
24,14,,
23,3,,
19,1,,
16,1,,
