Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,47,,
55,153,1.338659079867765,144
54,72,1.1243226709276424,58
53,33,1.260794063962228,28
52,26,1.164269784101544,21
51,115,1.0962883768100395,111
50,88,2.9773036694067656,74
49,137,1.3340918045667505,129
48,151,1.1196600367260348,138
47,200,1.1050264157268195,189
46,176,0.71220263470298,150
45,59,0.8350968287270686,38
44,1212,0.48207711671629466,1209
43,142,0.64801620234817,8
42,612,0.6079328421224027,609
41,70,5.791545410311115,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,0.9306683366376531,24
35,6,3.9409960273645828,2
34,12,1.6038358521690146,11
33,16,0.9239191907271385,14
32,13,1.195542452971879,11
31,54,0.7348500476800011,53
30,7,2.0394750514910283,4
29,8,0.7138501929099106,7
28,6,1.1118176527131007,4
27,12,,
26,6,2.2793892542516145,5
25,62,1.5425319697884445,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
