Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,52,4.227019371137084,51
55,146,1.534817163021701,141
54,72,0.5177972671791328,55
53,36,0.6788820294518899,28
52,28,0.40306648027229547,23
51,114,0.3780243985665735,112
50,89,2.804930135618082,76
49,131,1.2282636139618361,125
48,144,0.8425200448868088,127
47,220,1.1482853393207055,198
46,171,0.42142843528484447,154
45,54,0.8933019301698965,37
44,1210,0.21724241617894594,1206
43,145,0.14821320651575215,8
42,616,0.14547174275713923,613
41,66,9.11595481137942,4
39,3,0.19758418752274953,2
38,2,0.3569504438120852,1
37,6,,
36,26,0.18813749400214386,25
35,6,1.738230319358049,3
34,11,,
33,16,0.965805390123562,14
32,10,0.8660348413215985,8
31,56,0.49563388036136197,52
30,9,1.4031666415772466,5
29,8,,
28,5,0.9154332560144804,4
27,11,,
26,8,1.0536074067282006,6
25,63,,
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
