Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,46,,
55,157,1.517116556148076,147
54,68,1.0639277122669357,57
53,38,1.1893447911940485,32
52,23,1.2540245214282912,22
51,117,0.994442330970599,114
50,86,2.964862904052573,75
49,140,1.4520577613780286,133
48,142,1.0579938148994998,133
47,206,1.0976174922542292,190
46,181,0.7847989945737494,156
45,52,0.8693271789319634,37
44,1195,0.4825461811116648,1191
43,160,0.6131889417665556,8
42,613,0.3555816962277024,610
41,68,7.235576412956438,3
40,2,1.2018093739229831,1
39,2,,
38,2,1.7161667261910463,1
37,7,,
36,26,,
35,4,0.5200558641875466,2
34,12,1.1745962907448708,11
33,16,1.0430824534301635,14
32,13,1.1847081456735031,11
31,50,0.8591512294515266,49
30,11,1.9383578507825647,4
29,10,0.43547457411839274,9
28,4,,
27,12,,
26,7,1.5889367136100745,6
25,64,,
24,3,,
23,2,,
22,1,,
18,1,,
16,1,,
