Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,55,,
55,142,1.1571516007015106e-14,141
54,73,1.4123622906124312e-14,56
53,36,1.168414024536544e-14,29
52,27,3.0101525137228157e-14,23
51,113,1.6310276452758944e-14,111
50,87,2.3499429107345287,73
49,135,1.255440236272753,126
48,149,0.7671246111914424,133
47,211,5.812508690140661,195
46,178,8.790219551925578,158
45,52,6.210242185689817,39
44,1196,6.081999825621355,1194
43,159,2.382607273230463,10
42,601,3.474720501798363,600
41,79,4.961841627585479,4
40,1,,
39,3,,
38,1,,
37,6,,
36,29,2.156104683016322,28
35,2,,
34,12,2.5588091564423237,11
33,17,7.376937056194958,15
32,13,4.398920317836965,12
31,53,,
30,8,6.122856784388258,5
29,8,,
28,5,4.71134675,4
27,11,,
26,8,4.22471135,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
