Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,4.632018708333334,48
55,151,4.546405817404817,143
54,70,4.730695208356738,55
53,40,5.048353437499999,32
52,23,4.1877832691706445,22
51,117,5.268200091321406,114
50,88,3.817482962600784,77
49,137,4.725236310930102,132
48,143,5.662468657997067,133
47,210,5.160880179773139,194
46,175,6.341601978962617,154
45,55,6.1989815779087305,38
44,1203,6.099842287504246,1200
43,154,2.502356832437893,11
42,605,,
41,74,4.947683205754338,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,8.281934534844416,3
34,12,,
33,13,7.18041992916058,12
32,14,4.131433071683904,10
31,50,3.5658177781191926,48
30,12,6.840600262676959,4
29,8,3.610530442903111,7
28,6,4.71134675,4
27,13,,
26,5,,
25,62,5.532400806324678,61
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
