Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,50,,
55,146,0.5301529285714287,140
54,73,0.20300290909090898,55
53,38,0.08370133333333318,30
52,24,0.07686857142857176,21
51,121,0.08345222222222223,117
50,85,2.469920720779221,77
49,131,1.1163540293650793,126
48,152,0.7069250801470588,136
47,213,0.7536620622999999,200
46,167,0.21209954868421055,152
45,55,0.5707548861111112,36
44,1196,0.031985581158690185,1191
43,162,0.021299000000000134,10
42,608,0.010886212685337838,607
41,71,11.869076666666666,3
40,2,0.03363000000000049,1
39,3,,
38,1,,
37,7,,
36,27,,
35,3,2.159503999999999,2
34,14,0.5401358846153844,13
33,14,,
32,11,0.2827424555555554,9
31,52,0.3234402877551021,49
30,12,1.5974697000000002,5
29,8,,
28,5,0.6517977500000007,4
27,12,,
26,7,2.0567231833333337,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
