Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,53,2.2747676923076927,52
55,148,0.820042638888889,144
54,71,0.27376000000000017,57
53,36,0.2757659999999999,30
52,28,0.3443712000000003,25
51,112,,
50,89,2.407711080263158,76
49,127,1.053213273553719,121
48,152,0.7122336954198473,131
47,206,0.6142822774468085,188
46,182,0.21326445225806445,155
45,51,0.3446482771428572,35
44,1208,0.037461910782029956,1202
43,150,0.013701111111111212,9
42,617,0.006444092520325316,615
41,64,10.913317500000002,4
40,1,,
39,3,,
38,1,,
37,6,,
36,28,0.02270233333333332,27
35,4,0.9935550000000006,3
34,13,,
33,13,,
32,12,0.25982823333333327,9
31,55,0.3752843586538463,52
30,8,0.7691526500000004,4
29,8,0.06429302857142859,7
28,6,0.5664342500000006,4
27,11,,
26,7,2.4199494200000005,5
25,62,1.0267155278688527,61
24,6,,
23,3,,
19,1,,
16,1,,
