Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,51,3.7831507999999996,50
55,148,0.6104713380281689,142
54,74,0.3832660344827588,58
53,30,0.13855560000000014,25
52,31,0.13939391304347842,23
51,121,0.10814352941176475,119
50,78,2.368165615277778,72
49,137,1.1419419433070865,127
48,141,0.6763578214285714,126
47,214,0.7044711490052357,191
46,178,0.2342425857142857,154
45,54,0.4347444216216218,37
44,1221,0.08864709725554643,1217
43,135,0.034875555555555646,9
42,604,0.014010518438538306,602
41,76,11.752315333333334,3
40,2,0.05604999999999993,1
39,3,,
38,1,,
37,7,,
36,26,,
35,4,2.558021000000002,2
34,14,0.39696679230769233,13
33,15,,
32,10,0.02743288888888884,9
31,55,0.292683018269231,52
30,9,1.4966504999999997,5
29,7,,
28,6,0.51251325,4
27,11,,
26,8,1.5136975166666664,6
25,60,,
24,7,,
23,3,,
18,1,,
16,1,,
