Iteration,SampleCount,P_RADIUS_EST,P_RADIUS_EST_Weight
56,49,,
55,152,4.374296620689655,145
54,73,4.88357420581174,60
53,31,5.137382857142857,28
52,30,4.288097691342716,25
51,112,,
50,84,3.7908073572563903,71
49,142,4.739501760530384,131
48,146,5.702567063634163,135
47,211,5.203193735795775,197
46,166,6.322873889462833,148
45,62,6.26922897556704,39
44,1211,6.082782519297655,1209
43,144,2.6055521474918204,10
42,593,3.473268423931388,592
41,86,4.952566032472269,3
40,2,0.777940969374205,1
39,3,,
37,8,2.4065411558278837,7
36,24,,
35,6,8.39334320319967,2
34,13,2.5656727315773176,12
33,16,7.406879933678865,15
32,12,4.788650835394691,11
31,53,3.6463039579613037,52
30,8,6.837434908257358,4
29,9,3.191123389642883,8
28,5,4.71134675,4
27,12,,
26,7,4.22471135,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
