Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,622.9125045742699,48
55,148,341.1374882327655,140
54,77,313.09881783425556,59
53,35,441.42149427938114,31
52,26,311.74904072327627,24
51,106,352.6179027102706,105
50,96,288.3097047454559,76
49,133,244.0081007085523,127
48,155,230.06656654777308,140
47,207,243.2044104076847,198
46,176,255.19673258956155,159
45,51,202.82378920959215,39
44,1199,239.3377987457319,1197
43,156,186.49923480685408,10
42,600,218.44952421899865,599
41,80,281.90142646378206,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
