Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,,
55,146,314.41278088417573,139
54,70,246.80948455741913,51
53,41,253.14317278492624,29
52,27,249.25272780556247,23
51,117,301.56711903923247,115
50,85,266.44358702390895,75
49,137,221.48603071557025,130
48,142,226.20006470642568,130
47,209,177.26443609763703,190
46,187,180.82998287237592,162
45,45,167.41954007846343,36
44,1219,203.74394832377553,1214
43,139,170.5176769364651,10
42,600,220.03285376608665,599
41,79,333.96788628214,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
