Iteration,SampleCount,P_FLUX,P_FLUX_Weight
58,64,,
57,164,982.7102511302793,157
56,94,849.8848703848621,72
55,54,946.1469640050673,45
54,37,553.6341953505827,31
53,139,,
52,143,86609.10042169898,130
51,210,103.99508245164704,195
50,201,85.6654868390952,179
49,263,113.04609461636772,240
48,195,306.88550480377233,169
47,60,104.03553371566605,42
46,1239,363.99149958665,1232
45,155,56.35550709346757,12
44,612,,
43,69,8917.914329602394,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,,
38.0,32.0,,
37,3,,
36,17,,
35,22,,
34,14,,
33,62,,
32,7,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
