Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,52,690.9066260222924,51
55,144,333.7998903832182,139
54,72,315.99690878610505,53
53,42,416.3698682541048,32
52,25,283.36035796775195,24
51,115,283.0476306621764,114
50,87,263.6748248984404,76
49,134,190.9208653439911,128
48,142,218.2817433228846,128
47,214,189.70664644894245,193
46,173,175.286708878574,151
45,59,148.29219407358258,39
44,1213,216.15288516484006,1211
43,143,163.40710232149036,11
42,603,,
41,75,182.71452292197353,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
