Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,729.6898011440345,53
55,152,347.8364988099962,149
54,70,320.56950547979073,61
53,32,446.23498927193464,30
52,23,326.65588883022315,20
51,115,373.25191582556295,110
50,88,280.25195840447225,73
49,138,272.59481259788663,129
48,147,259.769858302041,134
47,204,250.18426140098344,189
46,178,269.0434135373593,152
45,54,205.4118063381154,35
44,1208,217.40718020907232,1202
43,152,207.3022062483549,11
42,604,,
41,75,260.8174134520799,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
