Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,461.1678683925534,47
55,155,963.7052820144615,146
54,66,1335.6055223611468,54
53,40,711.4926372368574,31
52,25,2381.447918324321,23
51,110,851.729866137618,108
50,91,763297023462.0178,74
49,125,113460.36398786468,117
48,156,4561.671398783645,131
47,210,703.8379820175523,192
46,175,332.1578216286984,152
45,57,281.4276778978634,38
44,1217,394.828477490346,1214
43,139,309.5521044841108,10
42,617,298.9425911137255,616
41,63,293.2557927440736,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
