Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,,
55,144,124.76371558598592,142
54,71,41.4909571109091,55
53,38,20.071750128999977,30
52,27,18.258846102916678,24
51,115,47.64227605438597,114
50,84,10.488530595863017,73
49,141,2.8477102998651525,132
48,145,3.3440108925851835,135
47,212,3.6168144871575763,198
46,170,7.0022807800928,153
45,53,3.8291834040285715,35
44,1202,5.808326654945653,1196
43,158,0.35662304181818005,11
42,600,,
41,78,0.042529846666672866,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
