Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,51,523.145793755064,49
55,148,280.6330404740358,141
54,69,232.49489871508675,52
53,41,282.35883283803474,30
52,25,170.22060153987994,22
51,119,271.79140899909027,116
50,79,263.70118025690317,70
49,145,186.30015094775533,133
48,138,174.84922778881548,129
47,212,145.58583864337888,192
46,182,178.33016114702048,159
45,48,132.29539956280067,36
44,1209,186.3341355204179,1204
43,149,105.95293477212428,10
42,612,148.59192495841828,611
41,67,182.78007189778015,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
