Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,46,,
55,150,586.9757555311016,140
54,69,586.4618695619359,51
53,43,598.5842936482495,31
52,23,436.90420142092194,21
51,119,681.9991492595233,115
50,83,732.1024033468627,73
49,134,633.3022696126404,125
48,147,518.1715950556759,130
47,208,456.50902466439425,189
46,176,429.78779397694524,150
45,56,350.5688848391304,35
44,1221,392.87321578625017,1215
43,139,293.86488271869433,11
42,619,,
41,60,268.9870947821856,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
