Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,47,,
55,145,1157.8191352404478,136
54,76,4052.249556535801,54
53,40,643.6270891164193,31
52,24,826.432420590379,22
51,116,635.9061997125114,113
50,87,35587019431.56426,75
49,136,718408.5917611632,129
48,146,23447.715980805115,133
47,214,206.69543705691606,198
46,172,1288.7984392534072,155
45,53,332.54420530955997,37
44,1220,313.42519528746834,1216
43,135,330.29450657348275,8
42,601,325.31605186561814,598
41,80,225.45329462956363,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
