Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,,
55,145,309.7238252761528,143
54,70,310.07278076683554,55
53,38,352.0517384321758,30
52,25,269.43212219101923,22
51,121,338.1406678793428,118
50,78,485.3015966107332,71
49,138,254.42356364875798,127
48,149,182.27432229962287,134
47,209,167.04065488503653,194
46,172,166.81618668949088,151
45,56,161.37637970789373,36
44,1205,187.76569746131673,1200
43,154,166.83727106907284,11
42,606,,
41,72,542.8251198719045,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
