Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,50,,
55,148,349.3522779933829,142
54,74,231.33841043514386,58
53,34,399.34680977440615,29
52,26,281.0009015440422,22
51,111,295.22851049851613,108
50,92,289.11949100540045,75
49,138,230.55189584353505,131
48,149,225.51384488819468,138
47,200,185.5333343668138,189
46,183,182.62713937585644,157
45,52,157.66028313890249,38
44,1204,236.2238526267249,1201
43,151,176.93633631887343,9
42,606,237.17347208088617,604
41,75,305.718495213807,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
