Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,55,670.9014012105232,53
55,147,219.53911630864582,144
54,70,157.69002002329432,56
53,36,176.54865199128102,29
52,28,128.51487384839012,24
51,111,142.1528620717537,110
50,86,180.68970396366709,71
49,137,111.56273324985162,126
48,151,93.73407487219879,135
47,209,57.247427514679714,195
46,180,60.65066897770644,160
45,49,58.60741088666481,38
44,1194,69.45581657986878,1191
43,161,38.30886841377967,9
42,614,44.046692309435464,612
41,67,78.4323762289336,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
