Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,55,662.1945600614644,54
55,147,273.59044846236225,145
54,72,199.29705197422612,59
53,35,298.678679895642,31
52,23,180.61585761045453,21
51,120,260.7553678632204,116
50,84,289.9936337528782,75
49,136,188.99806736394638,129
48,146,173.58389058299943,133
47,213,143.30997414653987,197
46,170,171.9416254248298,152
45,53,114.45756169037514,34
44,1209,183.40598729058578,1202
43,150,128.96870599420646,9
42,598,150.83146552720308,596
41,82,185.87663036789152,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
