Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,51,,
55,144,105.44173682021584,139
54,77,46.540212188793085,58
53,30,36.317146553200004,25
52,28,17.295392823500027,20
51,118,57.12441655398231,113
50,88,4.716217886684207,76
49,140,2.5895129444552225,134
48,139,3.7517256532061074,131
47,221,3.0250194589064017,203
46,165,10.062200950843135,153
45,52,2.8367128212058823,34
44,1208,7.34434647131557,1201
43,152,0.3866457269999972,10
42,605,2.8000386781456954,604
41,74,0.09279482333333557,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
