Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,53,,
55,143,275.1155691095081,140
54,75,226.9665414992252,57
53,34,314.0859852354202,28
52,28,160.91468799798707,23
51,117,268.3305129781571,115
50,87,274.3511833644192,77
49,135,201.76644396154552,130
48,145,177.5843535348346,133
47,214,151.37427706739504,198
46,170,182.53520870301566,153
45,55,130.83992546289187,37
44,1197,191.64410326057157,1193
43,161,131.38285024749138,11
42,603,,
41,76,177.44439337888753,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
