Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,678.4992558692941,53
55,143,347.3875557370278,140
54,71,296.5737145498334,53
53,43,438.50294996261897,33
52,21,,
51,118,354.9251468160214,114
50,78,281.0157172860266,67
49,139,259.5757658818952,124
48,153,235.26744826592304,135
47,210,251.53183874999453,196
46,174,241.96818306661385,155
45,56,186.26950886959182,40
44,1202,237.5743434558895,1201
43,153,186.31290948098453,11
42,610,,
41,68,263.9680617949088,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
