Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,,
55,146,344.7375624456051,139
54,75,293.83737666288914,56
53,37,478.4915741662452,30
52,25,319.3474245958677,22
51,117,315.5577448722058,114
50,81,373.6732428051374,70
49,146,183.63913612099182,134
48,139,129.0611221490893,131
47,209,154.382088386221,191
46,178,163.77925444150063,154
45,56,134.9451898322591,39
44,1207,179.2905398431905,1205
43,148,101.32649215375228,10
42,609,125.71073974688966,608
41,70,261.08241689894214,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
