Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,54,643.8620437227913,52
55,145,488.9111757871361,141
54,79,2579.2674783597363,62
53,32,618.1398991102066,31
52,25,3040.901119709509,23
51,120,11121.9366395152,118
50,81,76320509321.33788,74
49,133,520601.4321588559,125
48,153,4581.159200696276,136
47,205,161161.46276271594,192
46,180,1582390.3758820107,157
45,50,138448011.6895216,36
44,1198,2910026.4940982633,1193
43,161,6974788.566930298,11
42,603,,
41,75,3835045.688521339,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
