Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,50,,
55,143,284.7672610962921,137
54,77,225.9562108961015,56
53,40,294.39046926459974,33
52,22,,
51,111,271.5184078239562,108
50,86,231.06839691512303,69
49,138,194.0861215628894,125
48,155,179.86488531418996,138
47,207,145.79763277177761,196
46,179,173.91713279464744,160
45,50,109.79507550217949,39
44,1208,184.49336057060674,1206
43,147,105.80999063658231,10
42,604,151.29580843286507,603
41,75,200.09314196129085,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
