Iteration,SampleCount,P_FLUX,P_FLUX_Weight
56,49,,
55,148,289.09602110511923,141
54,76,229.09093590407474,59
53,31,248.49086072920514,27
52,26,171.16721879681896,20
51,114,285.41278112420855,109
50,91,274.17529203468587,75
49,138,192.62803135355426,131
48,150,166.62607454142847,139
47,209,143.20533030154613,199
46,174,164.01809823013704,158
45,49,133.22456290744654,36
44,1193,187.02752768117924,1188
43,165,111.86990838270633,10
42,612,154.18383109957114,611
41,67,177.12705270056017,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
